file_name,First_author,Publication_year,Delay_Length_Min_human,Delay_Length_Min_GPT4o,Delay_Length_Min_GPT4_Jansen,evaluate_RAG,evaluate_Jansen,Notes
Achterberg et al_2016_Frontostriatal white matter integrity predicts development of delay of,"Achterberg et al., a1",2016,10,2,2,0,0,
"Adams_Nettle_2009_Time perspective, personality and smoking, body mass, and physical activity",Adams et al.,2009,30,30,30,1,1,
Alessi_Petry_2003_Pathological gambling severity is associated with impulsivity in a delay,Alessi et al.,2003,0.25,0.25,25,1,0,
Amlung_MacKillop_2014_Clarifying the relationship between impulsive delay discounting and nicotine,Amlung et al.,2014,,,,1,1,
Anandakumar et al_2018_Individual differences in functional brain connectivity predict temporal,"Anandakumar et al., a1",2018,1,1,1,1,1,
Anokhin et al_2015_Long-term test–retest reliability of delayed reward discounting in adolescents,"Anokhin et al., a1",2015,0,0,0,1,1,
Banich et al_2013_Developmental trends and individual differences in brain systems involved in,Banich et al.,2013,1,7,7,0,0,
Bauer and Chytilová - 2010 - The Impact of Education on Subjective Discount Rat,Bauer et al. a1,2010,365,365,365,1,1,
Benjamin et al_2019_Predicting mid-life capital formation with pre-school delay of gratification,Benjamin et al.,2019,30,30,30,1,1,
Benningfield et al 2014,Benningfield et al.,2014,7,,7,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
"Bickel et al. - 2014 - Using crowdsourcing to compare temporal, social te",Bickel et al.,2014,,20,10,0,0,
Bixter_Rogers_2019_Age‐related differences in delay discounting,Bixter et al.,2019,,,30,1,0,
Bland et al_2016_EMOTICOM,Bland et al.,2016,0,0,0,1,1,
Boyle et al. - 2012 - Association of cognition with temporal discounting,Boyle et al.,2012,30,30,30,1,1,
Buono et al. - 2015 - Comparison of temporal discounting among obese col,Buono et al.,2015,7,7,7,1,1,
Burns et al_2020_Examining children_s ability to delay reward,Burns et al.,2020,7,7,7,1,1,
Canale et al. 2015,"Canale et al., a1",2015,7,,15,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
Castrellon et al_2019_Individual differences in dopamine are associated with reward discounting in,"Castrellon et al., a1",2019,14,14,0,1,0,
Chao et al 2009,Chao et al.,2009,7,7,7,1,1,
Christakou et al_2011_Maturation of limbic corticostriatal activation and connectivity associated,Christakou et al.,2011,7,7,7,1,1,
Ciccarelli et al_2019_An experimental investigation of the role of delay discounting and craving in,Ciccarelli et al. a1,2019,7,7,7,1,1,
Crandall et al_2021_Having less and wanting more,Crandall et al.,2021,1,1,1,1,1,
Curtis et al_2018_Objective cognitive functioning in self-reported habitual short sleepers not,"Curtis et al., a1",2018,30,30,30,1,1,
de Water et al_2014_Distinct age‐related differences in temporal discounting and risk taking in,de Water et al.,2014,2,2,2,1,1,
de Wit et al_2007_IQ and nonplanning impulsivity are independently associated with delay,de Wit et al.,2007,0,0,0,1,1,
Emery et al_2020_Impulsivity and midlife cardiometabolic risk,Emery et al.,2020,0,0,0,1,1,
Eppinger 等。 - 2012 - Reduced Sensitivity to Immediate Reward during Dec,Eppinger et al.,2012,14,14,14,1,1,
Epstein et al_2003_Comparison between two measures of delay discounting in smokers,Epstein et al.,2003,7,2,2,0,0,
"Epstein et al_2020_Delay Discounting, Glycemic Regulation and Health Behaviors in Adults with","Epstein et al., a1",2020,7,1,1,0,0,
Felton et al. 2020,Felton,2020,7,,7,1,0,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
Garza et al. - 2016 - Impulsivity and Fast-Food Consumption A Cross-Sec,Garza et al. a1,2016,1,1,1,1,1,
Green et al_1996_Temporal discounting in choice between delayed rewards,"Green et al., a1",1996,7,7,7,1,1,
Green 等。 - 1994 - Discounting of Delayed Rewards A Life-Span Compar,"Green et al., a1",1994,7,,7,0,1,
"Göllner et al_2018_Delay of gratification, delay discounting and their associations with age,",Göllner et al.,2018,7,7,7,1,1,
Halfmann 等。 - 2013 - Age-related differences in discounting future gain,Halfmann et al.,2013,14,14,0,1,0,
Hampton et al_2018_Good things for those who wait,"Hampton et al., a1",2018,1,1,1,1,1,
Harrison 等。 - 2002 - Estimating Individual Discount Rates in Denmark A,"Harrison et al., a1",2002,180,180,30,1,0,
Hayashi et al_2015_Texting while driving as impulsive choice,"Hayashi et al., a1",2015,7,7,7,1,1,
Hendrickson_Rasmussen_2017_Mindful eating reduces impulsive food choice in adolescents and adults,Hendrickson et al.,2017,,,6,1,0,
Herman et al_2018_Risk-taking and impulsivity,Herman et al.,2018,7,,,1,1,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
"Hill et al_2008_Family unpredictability, future discounting, and risk taking",Hill et al.,2008,10,14,14,0,0,
Ho 等。 - 2016 - Cerebral white matter correlates of delay discount,Ho et al.,2016,2,2,0,1,0,
Huang et al_2017_Undervaluing delayed rewards explains adolescents_ impulsivity in,Huang et al.,2017,7,7,7,1,1,
Huffman 等。 - 2017 - Time discounting and economic decision-making in t,Huffman et al.,2017,365,365,365,1,1,
Isen et al_2014_Predictive validity of delay discounting behavior in adolescence,Isen et al.,2014,1,1,1,1,1,
Jimura et al_2011_Domain independence and stability in young and older adults_ discounting of,Jimura et al.,2011,7,0.058,7,0,1,
Jones et al_2017_Binge drinking and family history of alcoholism are associated with an altered,"Jones et al., a1",2017,0,0,0,1,1,
"Kamza_Putko_2021_Attachment security, verbal ability, and inhibitory control in middle childhood",Kamza et al. ,2021,2,2,2,1,1,
Khurana et al_2018_Modeling trajectories of sensation seeking and impulsivity dimensions from, Khurana et al.,2018,180,,180,0,1,
"Kim‐Spoon et al_2015_Longitudinal associations among religiousness, delay discounting, and substance",Kim-Spoon et al.,2015,7,,,1,1,"the information is not provided in the original paper, external data is used in our original coding, so the correct LLM coding should be NA"
Kirby et al_2002_Correlates of delay-discount rates,Kirby et al. a1,2002,7,7,7,1,1,
Laube et al_2017_Dissociable effects of age and testosterone on adolescent impatience,Laube et al.,2017,14,14,0,1,0,
Laube et al_2020_Pubertal testosterone correlates with adolescent impatience and dorsal striatal,Laube et al.,2020,15,15,15,1,1,
Lee et al_2013_Age and educational track influence adolescent discounting of delayed rewards,Lee et al.,2013,7,7,7,1,1,
Lempert et al_2020_Links between autobiographical memory richness and temporal discounting in,Lempert et al.,2020,1,1,5,1,0,
Lempert 等。 - 2020 - Neural and behavioral correlates of episodic memor,Lempert et al.,2020,1,1,5,,,"this paper seems missed from Jansen et al., skip"
